X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
591463.000,2871203.500,-56.059,0 (Created; never classified),,,,,,,1,1,,0,-56.059,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871203.500,-56.076,0 (Created; never classified),,,,,,,1,1,,0,-56.076,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871203.500,-56.085,0 (Created; never classified),,,,,,,1,1,,0,-56.085,0 (Created; never classified),,,,,,,1,1,,0
591460.500,2871204.000,-55.744,0 (Created; never classified),,,,,,,1,1,,0,-55.744,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871204.000,-55.827,0 (Created; never classified),,,,,,,1,1,,0,-55.827,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871204.000,-55.993,0 (Created; never classified),,,,,,,1,1,,0,-55.993,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871204.000,-56.024,0 (Created; never classified),,,,,,,1,1,,0,-56.024,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871204.000,-56.041,0 (Created; never classified),,,,,,,1,1,,0,-56.041,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871204.000,-56.056,0 (Created; never classified),,,,,,,1,1,,0,-56.056,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871204.000,-56.078,0 (Created; never classified),,,,,,,1,1,,0,-56.078,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871204.000,-56.081,0 (Created; never classified),,,,,,,1,1,,0,-56.081,0 (Created; never classified),,,,,,,1,1,,0
591460.500,2871204.500,-55.78,0 (Created; never classified),,,,,,,1,1,,0,-55.78,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871204.500,-55.856,0 (Created; never classified),,,,,,,1,1,,0,-55.856,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871204.500,-55.996,0 (Created; never classified),,,,,,,1,1,,0,-55.996,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871204.500,-56.01,0 (Created; never classified),,,,,,,1,1,,0,-56.01,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871204.500,-56.009,0 (Created; never classified),,,,,,,1,1,,0,-56.009,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871204.500,-56.03,0 (Created; never classified),,,,,,,1,1,,0,-56.03,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871204.500,-56.064,0 (Created; never classified),,,,,,,1,1,,0,-56.064,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871204.500,-56.073,0 (Created; never classified),,,,,,,1,1,,0,-56.073,0 (Created; never classified),,,,,,,1,1,,0
591460.500,2871205.000,-55.832,0 (Created; never classified),,,,,,,1,1,,0,-55.832,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871205.000,-55.917,0 (Created; never classified),,,,,,,1,1,,0,-55.917,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871205.000,-55.962,0 (Created; never classified),,,,,,,1,1,,0,-55.962,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871205.000,-55.978,0 (Created; never classified),,,,,,,1,1,,0,-55.978,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871205.000,-55.946,0 (Created; never classified),,,,,,,1,1,,0,-55.946,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871205.000,-55.985,0 (Created; never classified),,,,,,,1,1,,0,-55.985,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871205.000,-56.046,0 (Created; never classified),,,,,,,1,1,,0,-56.046,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871205.000,-56.067,0 (Created; never classified),,,,,,,1,1,,0,-56.067,0 (Created; never classified),,,,,,,1,1,,0
591460.500,2871205.500,-55.836,0 (Created; never classified),,,,,,,1,1,,0,-55.836,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871205.500,-55.922,0 (Created; never classified),,,,,,,1,1,,0,-55.922,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871205.500,-55.969,0 (Created; never classified),,,,,,,1,1,,0,-55.969,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871205.500,-55.936,0 (Created; never classified),,,,,,,1,1,,0,-55.936,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871205.500,-55.898,0 (Created; never classified),,,,,,,1,1,,0,-55.898,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871205.500,-55.945,0 (Created; never classified),,,,,,,1,1,,0,-55.945,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871205.500,-56.019,0 (Created; never classified),,,,,,,1,1,,0,-56.019,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871205.500,-56.065,0 (Created; never classified),,,,,,,1,1,,0,-56.065,0 (Created; never classified),,,,,,,1,1,,0
591460.500,2871206.000,-55.869,0 (Created; never classified),,,,,,,1,1,,0,-55.869,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871206.000,-55.924,0 (Created; never classified),,,,,,,1,1,,0,-55.924,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871206.000,-55.972,0 (Created; never classified),,,,,,,1,1,,0,-55.972,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871206.000,-55.922,0 (Created; never classified),,,,,,,1,1,,0,-55.922,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871206.000,-55.902,0 (Created; never classified),,,,,,,1,1,,0,-55.902,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871206.000,-55.951,0 (Created; never classified),,,,,,,1,1,,0,-55.951,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871206.000,-56.019,0 (Created; never classified),,,,,,,1,1,,0,-56.019,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871206.000,-56.061,0 (Created; never classified),,,,,,,1,1,,0,-56.061,0 (Created; never classified),,,,,,,1,1,,0
591460.500,2871206.500,-55.893,0 (Created; never classified),,,,,,,1,1,,0,-55.893,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871206.500,-55.937,0 (Created; never classified),,,,,,,1,1,,0,-55.937,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871206.500,-55.971,0 (Created; never classified),,,,,,,1,1,,0,-55.971,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871206.500,-55.937,0 (Created; never classified),,,,,,,1,1,,0,-55.937,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871206.500,-55.922,0 (Created; never classified),,,,,,,1,1,,0,-55.922,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871206.500,-55.975,0 (Created; never classified),,,,,,,1,1,,0,-55.975,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871206.500,-56.021,0 (Created; never classified),,,,,,,1,1,,0,-56.021,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871206.500,-56.044,0 (Created; never classified),,,,,,,1,1,,0,-56.044,0 (Created; never classified),,,,,,,1,1,,0
591460.500,2871207.000,-55.905,0 (Created; never classified),,,,,,,1,1,,0,-55.905,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871207.000,-55.943,0 (Created; never classified),,,,,,,1,1,,0,-55.943,0 (Created; never classified),,,,,,,1,1,,0
